Orbits integrated with JPL ephemerides, version jup365.bsp starting at 2.443e6 .
The synthetic times include Normally sampled noise with zero mean and 30 second standard deviation.
#body	ntrans	tt	sigtt
1.0	191.0	339.2835887703113	0.00034722222222222224
1.0	192.0	341.05320422537625	0.00034722222222222224
1.0	193.0	342.8215351421386	0.00034722222222222224
1.0	194.0	344.59102407004684	0.00034722222222222224
1.0	195.0	346.360705640167	0.00034722222222222224
1.0	196.0	348.12958944262937	0.00034722222222222224
1.0	197.0	349.89794293092564	0.00034722222222222224
1.0	198.0	351.6683436217718	0.00034722222222222224
1.0	199.0	353.4365198761225	0.00034722222222222224
1.0	200.0	355.20563218789175	0.00034722222222222224
1.0	201.0	356.9747105157003	0.00034722222222222224
1.0	202.0	358.7439007409848	0.00034722222222222224
1.0	203.0	360.5132361757569	0.00034722222222222224
1.0	204.0	362.282646513544	0.00034722222222222224
1.0	205.0	364.05159584386274	0.00034722222222222224
1.0	206.0	365.8199085420929	0.00034722222222222224
1.0	207.0	367.58872894523665	0.00034722222222222224
1.0	208.0	369.35871094232425	0.00034722222222222224
1.0	209.0	371.1275208313018	0.00034722222222222224
1.0	210.0	372.8967183236964	0.00034722222222222224
1.0	211.0	374.6656001168303	0.00034722222222222224
1.0	212.0	376.4350758907385	0.00034722222222222224
1.0	213.0	378.2036890061572	0.00034722222222222224
1.0	214.0	379.97320474358276	0.00034722222222222224
1.0	215.0	381.7421982861124	0.00034722222222222224
1.0	216.0	383.5113282375969	0.00034722222222222224
1.0	217.0	385.28049024473876	0.00034722222222222224
